"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","3.99",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.10",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","25591",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","Memory Throughput","%","44.98",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","DRAM Throughput","%","1.36",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","Duration","us","22.59",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","71.75",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","9.14",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","16200.82",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","15.01",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.3 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Block Size","","128",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Cluster Scheduling Policy","","PolicySpread",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Cluster Size","","0",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Grid Size","","128",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Preferred Cluster Size","","0",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Registers Per Thread","register/thread","148",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Shared Memory Configuration Size","Kbyte","233.47",
"0","885949","repro_algo23_int8_n1000","127.0.0.1","void Kernel2<cutlass_80_tensorop_i16832gemm_s8_128x64_128x3_tn_align4>(Params)","1","20","(128, 1, 1)","(128, 1, 1)","0","10.0","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02",
